"pptID","fileName","age","gender","nationality","firstLang","highestEdu","condition","videoCond","questionCond","trial","clipName","question","response","answer","RT","answerNum","variance","lowVariance"
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",54,"talk1Watch1Play","rightAmused",4,"stronglyAgree",7934,4,3.2987012987013,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",55,"1Laugh1PushAway","openBox",NA,NA,21109,NA,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",56,"1Laugh1PushAway","age",6,NA,2740,6,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",57,"1Laugh1PushAway","gettingOnWell",2,"no",2302,2,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",58,"1Laugh1PushAway","relationshipBetweenCharacters",2,"notFriends",7525,2,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",59,"1Laugh1PushAway","workingTogether",2,"no",1798,2,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",60,"1Laugh1PushAway","leftDominant",0,"stronglyDisagree",3925,0,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",61,"1Laugh1PushAway","rightDominant",4,"stronglyAgree",3925,4,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",62,"1Laugh1PushAway","leftCooperative",3,"agree",18581,3,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",63,"1Laugh1PushAway","rightCooperative",0,"stronglyDisagree",18581,0,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",64,"1Laugh1PushAway","leftCompetitive",1,"disagree",10139,1,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",65,"1Laugh1PushAway","rightCompetitive",3,"agree",10139,3,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",66,"1Laugh1PushAway","leftFriendly",4,"stronglyAgree",3324,4,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",67,"1Laugh1PushAway","rightFriendly",1,"disagree",3324,1,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",68,"1Laugh1PushAway","leftAggressive",0,"stronglyDisagree",3317,0,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",69,"1Laugh1PushAway","rightAggressive",4,"stronglyAgree",3317,4,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",70,"1Laugh1PushAway","leftEngaged",1,"disagree",4309,1,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",71,"1Laugh1PushAway","rightEngaged",4,"stronglyAgree",4309,4,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",72,"1Laugh1PushAway","leftFearful",0,"stronglyDisagree",3660,0,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",73,"1Laugh1PushAway","rightFearful",0,"stronglyDisagree",3660,0,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",74,"1Laugh1PushAway","leftSad",0,"stronglyDisagree",2470,0,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",75,"1Laugh1PushAway","rightSad",0,"stronglyDisagree",2470,0,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",76,"1Laugh1PushAway","leftContent",2,"neutral",2938,2,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",77,"1Laugh1PushAway","rightContent",2,"neutral",2938,2,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",78,"1Laugh1PushAway","leftAngry",0,"stronglyDisagree",3517,0,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",79,"1Laugh1PushAway","rightAngry",4,"stronglyAgree",3517,4,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",80,"1Laugh1PushAway","leftAmused",3,"agree",3219,3,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",81,"1Laugh1PushAway","rightAmused",1,"disagree",3219,1,2.7034632034632,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",82,"turnTaking","openBox",NA,NA,16595,NA,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",83,"turnTaking","age",7,NA,2661,7,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",84,"turnTaking","gettingOnWell",0,"yes",1732,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",85,"turnTaking","relationshipBetweenCharacters",0,"friends",1661,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",86,"turnTaking","workingTogether",0,"yes",1716,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",87,"turnTaking","leftDominant",0,"stronglyDisagree",3421,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",88,"turnTaking","rightDominant",0,"stronglyDisagree",3421,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",89,"turnTaking","leftCooperative",4,"stronglyAgree",2292,4,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",90,"turnTaking","rightCooperative",4,"stronglyAgree",2292,4,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",91,"turnTaking","leftCompetitive",2,"neutral",3059,2,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",92,"turnTaking","rightCompetitive",2,"neutral",3059,2,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",93,"turnTaking","leftFriendly",4,"stronglyAgree",2812,4,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",94,"turnTaking","rightFriendly",4,"stronglyAgree",2812,4,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",95,"turnTaking","leftAggressive",0,"stronglyDisagree",2907,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",96,"turnTaking","rightAggressive",0,"stronglyDisagree",2907,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",97,"turnTaking","leftEngaged",4,"stronglyAgree",2154,4,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",98,"turnTaking","rightEngaged",4,"stronglyAgree",2154,4,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",99,"turnTaking","leftFearful",0,"stronglyDisagree",3005,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",100,"turnTaking","rightFearful",0,"stronglyDisagree",3005,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",101,"turnTaking","leftSad",0,"stronglyDisagree",2901,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",102,"turnTaking","rightSad",0,"stronglyDisagree",2901,0,3.06493506493506,0
1031,"/home/madeleine/Projects/PLY001/data/10312511698_data.csv",29,"male","American","English","BachelorsDegree",4,"full","specific",103,"turnTaking","leftContent",2,"neutral",3044,2,3.06493506493506,0
